source_id,name,category,source_type,level,region,ij_code,municipalities_focus,website_url,facebook_url,fb_status,instagram_url,ig_status,x_url,x_status,youtube_url,where_to_fish,preferred_ingestion,priority_tier,pilot_score,election_relevance,ij_relevance,banja_luka_relevance,doboj_relevance,credibility,bias_score,social_signal,influence,speed,originality,manipulation_risk,technical_access,data_completeness,notes
ECO_002,Akta.ba,economic portal BiH,economic_media,BiH,BiH,ALL,BiH,https://www.akta.ba/,https://www.facebook.com/akta.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.645,0.45,0.35,0.1,0.2,0.7,0.25,0.55,0.55,0.55,0.65,0.25,0.8,0.4,"Poslovne vijesti, firme, investicije."
ECO_007,Republički zavod za statistiku RS,official statistics RS,official_statistics,RS,RS,ALL,RS,https://www.rzs.rs.ba/,https://www.facebook.com/rsstatistika,✅ TROVATO,,,,,,official website; Facebook; datasets,website/manual/API,2,0.627,0.35,0.35,0.05,0.1,0.95,0.1,0.25,0.55,0.35,0.95,0.05,0.7,0.4,Zvanična statistika RS.
SRC_006,Centralna banka BiH,official economy,official_economic,BiH,BiH,ALL,BiH,https://www.cbbh.ba/,https://www.facebook.com/CentralnaBankaBiH,✅ TROVATO,,,,,,official website; Facebook; statistics,website/manual/API,2,0.624,0.35,0.25,0.02,0.05,0.95,0.05,0.25,0.6,0.35,0.95,0.05,0.7,0.4,Zvanični makro/monetarni podaci.
ECO_006,Agencija za statistiku BiH,official statistics,official_statistics,BiH,BiH,ALL,BiH,https://bhas.gov.ba/,https://www.facebook.com/BHAS.BIH,✅ TROVATO,,,,,,official website; Facebook; datasets,website/manual/API,2,0.597,0.35,0.25,0.02,0.05,0.95,0.05,0.2,0.5,0.3,0.95,0.05,0.7,0.4,Zvanična statistika BiH.
ECO_004,eKapija,economic / regional business,economic_media,BiH/region,BiH/region,ALL,BiH; region,https://ba.ekapija.com/,https://www.facebook.com/ekapija,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.578,0.4,0.25,0.05,0.1,0.65,0.3,0.5,0.45,0.5,0.55,0.3,0.75,0.4,"Investicije, tenderi, infrastruktura."
SRC_007,Poreska uprava RS,official tax RS,official_economic,RS,RS,ALL,RS,https://poreskaupravars.org/,https://www.facebook.com/p/Пореска-управа-Републике-Српске-61554143518509,✅ TROVATO,,,,,,official website; Facebook; announcements,website/manual,3,0.575,0.3,0.25,0.05,0.1,0.9,0.1,0.25,0.45,0.3,0.9,0.05,0.65,0.4,Zvanični poreski i javno-prihodni signal RS.
ECO_003,BiznisInfo.ba,economic portal BiH,economic_media,BiH,BiH,ALL,BiH,https://www.biznisinfo.ba/,https://www.facebook.com/biznisinfo.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.57,0.4,0.25,0.05,0.15,0.62,0.3,0.5,0.45,0.55,0.45,0.35,0.75,0.4,"Biznis vijesti, investicije, tržište."
SRC_008,Uprava za indirektno oporezivanje BiH,official tax/customs,official_economic,BiH,BiH,ALL,BiH,https://www.uino.gov.ba/,,❌ NON TROVATO,,,https://x.com/UIO_BiH,confirmed,,official website; X; no confirmed Facebook,website/X/manual,3,0.554,0.3,0.2,0.0,0.05,0.9,0.1,0.2,0.4,0.3,0.9,0.05,0.65,0.4,Nema potvrđenu FB stranicu; koristiti sajt i X.
ECO_005,Indikator.ba,finance/economic BiH,economic_media,BiH,BiH,ALL,BiH,https://indikator.ba/,https://www.facebook.com/indikatorba,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.551,0.4,0.25,0.02,0.1,0.65,0.3,0.4,0.4,0.45,0.55,0.25,0.7,0.4,Finansijski i poslovni signal.
SRC_001,Detektor / BIRN BiH,investigative / judiciary,investigative,BiH,BiH,ALL,BiH,https://detektor.ba/,https://www.facebook.com/detektor.ba,confirmed_user,,,https://x.com/detektor_ba,confirmed_user,,website; investigations; Facebook; X,website/RSS/social,2,0.689,0.65,0.35,0.0,0.0,0.85,0.35,0.45,0.65,0.45,0.9,0.2,0.7,0.75,"Pravosuđe, korupcija, ekstremizam; korektiv za teške teme."
SRC_005,Žurnal,investigative,investigative,BiH,BiH/RS,ALL,BiH; RS,https://zurnal.info/,https://www.facebook.com/zurnal.info,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.685,0.65,0.35,0.2,0.2,0.8,0.65,0.55,0.65,0.45,0.9,0.3,0.75,0.4,Istraživački sloj za afere i korupciju.
SRC_010,Istraga.ba,BiH investigative/opinion,investigative,BiH,BiH,ALL,BiH,https://istraga.ba/,https://www.facebook.com/istraga.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.6,0.62,0.25,0.02,0.07,0.62,0.7,0.55,0.5,0.6,0.65,0.55,0.7,0.4,Istraživački/politički signal; provjeravati pristrasnost.
SRC_002,Mediacentar Sarajevo / Media.ba,media analysis,analysis,BiH,BiH,ALL,BiH,https://media.ba/,https://www.facebook.com/MediacentarSarajevo,⚠️ DA VERIFICARE,,,,,,website; publications; Facebook,website/manual PDF,3,0.608,0.65,0.25,0.0,0.0,0.83,0.35,0.35,0.45,0.25,0.85,0.15,0.65,0.4,Analize medija i društvenih mreža; relevantno za metodologiju pilota.
SRC_012,Analiziraj.ba,political/media analysis,analysis,BiH,BiH,ALL,BiH,https://analiziraj.ba/,https://www.facebook.com/analiziraj.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.552,0.55,0.2,0.0,0.0,0.72,0.45,0.4,0.35,0.3,0.7,0.3,0.7,0.4,Analize medija/politike; manji ali koristan korektiv.
SRC_013,Tačno.net,political/social commentary,analysis,BiH,BiH,ALL,BiH,https://tacno.net/,https://www.facebook.com/tacno.net,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.531,0.5,0.2,0.0,0.0,0.65,0.6,0.4,0.35,0.35,0.65,0.35,0.7,0.4,Komentari i analize; provjeriti pristrasnost.
POL_RS_010,Za pravdu i red,RS movement / opposition,movement_official,RS,RS-wide/Hercegovina,ALL/IJ9,RS; Hercegovina,https://pravdared.com/,https://www.facebook.com/ZaPravduIRed,⚠️ DA VERIFICARE,,,,,,official website; Facebook; YouTube; social,social/website,2,0.681,0.75,0.65,0.2,0.2,0.5,0.95,0.7,0.65,0.6,0.8,0.7,0.6,0.4,Jak opozicioni/movement signal; Hercegovina i RS-wide.
POL_RS_005,DEMOS,RS party / vlast,party_official,RS,RS-wide,ALL,RS,https://demos-rs.com/,https://www.facebook.com/demos2018,✅ TROVATO,,,,,,official website; Facebook; local boards,official/social,2,0.619,0.72,0.6,0.35,0.45,0.45,0.9,0.6,0.55,0.5,0.65,0.65,0.55,0.4,Relevantan koalicioni faktor.
POL_RS_013,SDA RS / SDA BiH,BiH party,party_official,BiH/RS,BiH/RS,ALL,BiH; RS,https://sda.ba/,https://www.facebook.com/SDA,confirmed_user,,,,,,official website; Facebook; local branches,official/social,2,0.609,0.65,0.45,0.1,0.2,0.5,0.95,0.6,0.6,0.45,0.7,0.6,0.6,0.5,Relevantno u povratničkim sredinama i probosanskim koalicijama.
POL_RS_012,Pokret za državu,BiH/RS coalition/platform,political_bloc,RS/BiH,RS/BiH,ALL,RS; BiH,,,❌ NON TROVATO,,,,,,Facebook; party pages; CIK filings,manual/social,2,0.587,0.7,0.55,0.2,0.25,0.45,0.95,0.55,0.55,0.45,0.55,0.6,0.45,0.0,Probosanski blok u RS; pratiti kroz koalicione liste i partije.
POL_RS_007,Socijalistička partija RS,RS party / coalition,party_official,RS,RS-wide,ALL,RS,https://socijalisti.ba/,https://www.facebook.com/socijalistickapartija,confirmed_user,https://www.instagram.com/socijalistickapartija/,confirmed_user,,,,official website; Facebook; local boards,official/social,2,0.585,0.68,0.55,0.25,0.5,0.45,0.9,0.55,0.5,0.45,0.6,0.65,0.55,0.75,Koalicioni faktor; pratiti lokalne odbore.
POL_RS_006,SPS RS,RS party / vlast/opposition variable,party_official,RS,RS-wide,ALL,RS,https://spsrs.org/,https://www.facebook.com/spsrs.org,confirmed_user,https://www.instagram.com/sps_srpska/,confirmed_user,,,,official website; Facebook; local boards,official/social,2,0.582,0.65,0.55,0.25,0.4,0.42,0.9,0.55,0.5,0.5,0.6,0.65,0.55,0.75,Manji ali relevantan faktor; pratiti koalicione pomake.
POL_RS_009,NPS (Narodna partija Srpske),RS party / coalition,party_official,RS,RS-wide/Krajina,ALL/IJ1,RS; Krajina,https://npsrs.org/,https://www.facebook.com/npsrpske,confirmed_user,https://www.instagram.com/npsrpske/,confirmed_user,,,,official website; Facebook; local boards,official/social,2,0.575,0.65,0.55,0.15,0.25,0.42,0.9,0.55,0.5,0.45,0.55,0.65,0.55,0.75,Banjac/NPS; lokalno relevantan u Krajini.
POL_RS_008,DNS,RS party,party_official,RS,RS-wide/Prijedor,ALL/IJ1,RS; Prijedor,https://dnsrs.org/,https://www.facebook.com/dnsrs.org,confirmed_user,https://www.instagram.com/dns_srpska/,confirmed_user,,,,official website; Facebook; local boards,official/social,2,0.556,0.62,0.55,0.15,0.3,0.42,0.85,0.5,0.45,0.4,0.55,0.6,0.55,0.75,Historijski jak u Prijedoru; provjeriti trenutno stanje i lokalne odbore.
REG_001,N1 Srbija,Serbia regional,media_tv,Serbia,Serbia/region,REGION,Serbia; BiH region,https://n1info.rs/,https://www.facebook.com/N1Srbija,confirmed_user,https://www.instagram.com/n1srbija/,confirmed_user,https://x.com/n1srbija,confirmed_user,,website; Facebook; X; YouTube,website/social,3,0.671,0.45,0.15,0.0,0.05,0.75,0.55,0.75,0.7,0.7,0.6,0.4,0.85,1.0,Često pokriva region i BiH; relevantno za regionalni odjek.
REG_009,Index.hr,Croatia regional,media_portal,Croatia,Croatia/region,REGION,Croatia; BiH region,https://www.index.hr/,https://www.facebook.com/index.hr,confirmed_user,https://www.instagram.com/indexhr/,confirmed_user,https://x.com/indexhr,confirmed_user,,website; Facebook,website/social,3,0.646,0.38,0.1,0.0,0.03,0.62,0.55,0.8,0.75,0.85,0.45,0.6,0.85,1.0,Regionalno relevantan za BiH teme i hrvatski ugao.
REG_002,RTS,Serbia public broadcaster,media_public,Serbia,Serbia/region,REGION,Serbia; region,https://www.rts.rs/,https://www.facebook.com/rts,confirmed_user,https://www.instagram.com/rts_predstavlja/,confirmed_user,https://x.com/RTS_Vesti,confirmed_user,,website; Facebook; video,website/social,3,0.624,0.4,0.12,0.0,0.05,0.75,0.5,0.6,0.65,0.6,0.6,0.35,0.8,1.0,Zvaničniji srbijanski okvir; važan za regionalni mainstream.
REG_010,N1 Hrvatska,Croatia regional,media_tv,Croatia,Croatia/region,REGION,Croatia; BiH region,https://n1info.hr/,https://www.facebook.com/N1Hrvatska,confirmed_user,https://www.instagram.com/n1hrvatska/,confirmed_user,https://x.com/N1Hrvatska,confirmed_user,,website; Facebook; video,website/social,3,0.622,0.38,0.1,0.0,0.03,0.75,0.5,0.65,0.6,0.6,0.6,0.35,0.85,1.0,Kvalitetniji regionalni TV/news signal.
REG_005,Blic,Serbia mainstream,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://www.blic.rs/,https://www.facebook.com/Blic.rs,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.621,0.35,0.1,0.0,0.03,0.55,0.55,0.8,0.75,0.85,0.35,0.65,0.8,0.4,Veliki regionalni reach; clickbait rizik.
REG_003,Nova.rs,Serbia news,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://nova.rs/,https://www.facebook.com/nova.rs,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.593,0.4,0.12,0.0,0.03,0.65,0.65,0.65,0.6,0.7,0.45,0.55,0.8,0.4,"Regionalni odjek, opozicioniji ton prema Srbiji."
REG_006,Kurir,Serbia tabloid,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://www.kurir.rs/,https://www.facebook.com/kurir,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.591,0.32,0.08,0.0,0.02,0.42,0.75,0.85,0.75,0.85,0.3,0.75,0.8,0.4,"Visok reach, visok tabloid/manipulativni rizik."
REG_007,Informer,Serbia tabloid/progovernment,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://informer.rs/,https://www.facebook.com/informer.rs,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.589,0.35,0.08,0.0,0.02,0.4,0.9,0.85,0.8,0.85,0.3,0.85,0.8,0.4,"Visok reach i visoka pristrasnost; pratiti kao signal, ne kao vjerodostojnost."
REG_012,Večernji list,Croatia/BiH mainstream,media_portal,Croatia/BiH,Croatia/BiH,REGION,Croatia; BiH,https://www.vecernji.hr/,https://www.facebook.com/vecernji,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.582,0.35,0.1,0.0,0.03,0.65,0.55,0.65,0.6,0.6,0.45,0.45,0.75,0.4,Važan za hrvatski/BiH hrvatski ugao.
REG_011,Jutarnji list,Croatia mainstream,media_portal,Croatia,Croatia/region,REGION,Croatia; BiH region,https://www.jutarnji.hr/,https://www.facebook.com/jutarnji,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.579,0.3,0.08,0.0,0.02,0.65,0.45,0.65,0.6,0.6,0.45,0.4,0.75,0.4,Hrvatski mainstream; povremeno BiH teme.
REG_004,Danas,Serbia news/analysis,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://www.danas.rs/,https://www.facebook.com/danas.rs,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.578,0.4,0.12,0.0,0.03,0.7,0.65,0.55,0.55,0.5,0.65,0.45,0.8,0.4,Analitički/opozicioniji srbijanski izvor.
REG_008,Politika,Serbia traditional,media_portal,Serbia,Serbia/region,REGION,Serbia; region,https://www.politika.rs/,https://www.facebook.com/PolitikaNovine,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.559,0.35,0.08,0.0,0.02,0.7,0.45,0.5,0.55,0.45,0.55,0.35,0.75,0.4,Tradicionalni srbijanski medij.
REG_014,HRT,Croatia public broadcaster,media_public,Croatia,Croatia/region,REGION,Croatia; region,https://www.hrt.hr/,https://www.facebook.com/HRT,⚠️ DA VERIFICARE,,,,,,website; Facebook; video,website/social,3,0.545,0.25,0.06,0.0,0.01,0.75,0.4,0.5,0.5,0.45,0.55,0.3,0.75,0.4,Zvaničniji hrvatski mainstream signal.
REG_013,Telegram.hr,Croatia analysis/news,media_portal,Croatia,Croatia/region,REGION,Croatia; region,https://www.telegram.hr/,https://www.facebook.com/Telegram.hr,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.536,0.25,0.06,0.0,0.01,0.7,0.45,0.55,0.45,0.45,0.6,0.35,0.75,0.4,Analitički hrvatski izvor; manji BiH fokus.
FBIH_001,Klix.ba,Federacija/BiH general,media_portal,BiH,Sarajevo/BiH,ALL,BiH,https://www.klix.ba/,https://www.facebook.com/Klix.ba,confirmed_user,https://www.instagram.com/klixba/,confirmed_user,https://x.com/Klixba,confirmed_user,,website; Facebook; Instagram; X,website/social,1,0.787,0.7,0.35,0.05,0.1,0.7,0.5,0.9,0.9,0.9,0.55,0.5,0.85,1.0,Najveći BiH portal; važan za nacionalni reach.
SRC_009,N1 BiH,BiH TV/news,media_tv,BiH,BiH,ALL,BiH,https://n1info.ba/,https://www.facebook.com/N1BiH,confirmed_user,https://www.instagram.com/n1bih/,confirmed_user,https://x.com/N1infoSA,confirmed_user,,website; Facebook; Instagram; X; video,website/social,1,0.776,0.75,0.35,0.05,0.15,0.75,0.55,0.8,0.85,0.75,0.65,0.4,0.85,1.0,"Visok nacionalni uticaj, često pokriva BiH/RS politiku."
FBIH_002,Dnevni avaz,Federacija/BiH general,media_portal,BiH,Sarajevo/BiH,ALL,BiH,https://avaz.ba/,https://www.facebook.com/dnevniavaz,confirmed_user,https://www.instagram.com/dnevniavaz/,confirmed_user,https://x.com/DnevniAvaz,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.69,0.6,0.3,0.03,0.1,0.62,0.55,0.75,0.75,0.8,0.45,0.55,0.8,1.0,Jak dnevni portal/list; relevantan za Federaciju i BiH-wide narativ.
SRC_004,Mondo.ba,RS/BiH portal,media_portal,BiH/RS,BiH/RS,ALL,BiH; RS,https://mondo.ba/,https://www.facebook.com/mondobih,confirmed_user,https://www.instagram.com/mondo_ba/,confirmed_user,https://x.com/Mondo_BA,confirmed_user,,website; Facebook,website/social,2,0.677,0.65,0.45,0.35,0.25,0.6,0.45,0.65,0.65,0.75,0.45,0.55,0.75,1.0,"Širi portal, koristan za popularizaciju i širenje tema."
FBIH_003,Oslobođenje,Federacija/BiH general,media_portal,BiH,Sarajevo/BiH,ALL,BiH,https://www.oslobodjenje.ba/,https://www.facebook.com/oslobodjenjeba,confirmed_user,https://www.instagram.com/oslobodjenje/,confirmed_user,https://x.com/Oslobodjenje_,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.669,0.6,0.3,0.03,0.1,0.68,0.5,0.65,0.65,0.7,0.5,0.45,0.8,1.0,Tradicionalni BiH medij.
FBIH_004,Raport.ba,Federacija/BiH politics,media_portal,BiH,Sarajevo/BiH,ALL,BiH,https://raport.ba/,https://www.facebook.com/raport.ba,✅ CONFERMATO,,,,,,website; Facebook,website/social,2,0.622,0.62,0.3,0.02,0.1,0.58,0.55,0.6,0.55,0.7,0.45,0.55,0.75,0.4,Političke vijesti i komentari; relevantan za Federaciju/BiH.
FBIH_005,Faktor.ba,Federacija/BiH politics,media_portal,BiH,Sarajevo/BiH,ALL,BiH,https://faktor.ba/,https://www.facebook.com/faktor.ba,✅ CONFERMATO,,,,,,website; Facebook,website/social,2,0.607,0.58,0.3,0.02,0.08,0.58,0.65,0.6,0.55,0.7,0.4,0.6,0.75,0.4,Politički obojenija BiH/Federacija perspektiva.
FBIH_006,Vijesti.ba,Federacija/BiH general,media_portal,BiH,BiH,ALL,BiH,https://vijesti.ba/,https://www.facebook.com/vijesti.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.558,0.5,0.25,0.0,0.08,0.58,0.45,0.5,0.45,0.6,0.35,0.5,0.7,0.4,Širi BiH portal.
SRC_011,Dnevnik.ba,BiH/Croat political perspective,media_portal,BiH,BiH/Federacija,ALL,BiH,https://www.dnevnik.ba/,https://www.facebook.com/dnevnik.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.536,0.52,0.2,0.0,0.05,0.58,0.6,0.45,0.4,0.55,0.45,0.5,0.7,0.4,Koristan za hrvatsku/Federacija perspektivu.
